index,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,Symbol,Quantity
2022-12-30,148.2100,150.9199,125.8700,129.9300,129.3776,1675731304,0.0000,AAPL,4
2022-11-30,155.0800,155.4500,134.3800,148.0300,147.4006,1724948219,0.2300,AAPL,4
2022-10-31,138.2100,157.5000,134.3700,153.3400,152.4347,1868381344,0.0000,AAPL,4
2022-09-30,156.6400,164.2600,138.0000,138.2000,137.3841,2083968147,0.0000,AAPL,4
2022-08-31,161.0100,176.1500,157.1400,157.2200,156.2918,1509735435,0.2300,AAPL,4
2022-07-29,136.0400,163.6300,135.6600,162.5100,161.3262,1447364668,0.0000,AAPL,4
2022-06-30,149.9000,151.7400,129.0400,136.7200,135.7240,1749297959,0.0000,AAPL,4
2022-05-31,156.7100,166.4800,132.6100,148.8400,147.7557,2400305601,0.2300,AAPL,4
2022-04-29,174.0300,178.4900,155.3800,157.6500,156.2730,1683547838,0.0000,AAPL,4
2022-03-31,164.6950,179.6100,150.1000,174.6100,173.0849,2171827429,0.0000,AAPL,4
2022-02-28,174.0100,176.6500,152.0000,165.1200,163.6778,1628570227,0.2200,AAPL,4
2022-01-31,177.8300,182.9400,154.7000,174.7800,173.0326,2106513962,0.0000,AAPL,4
2021-12-31,167.4800,182.1300,157.8000,177.5700,175.7947,2443227128,0.0000,AAPL,4
2021-11-30,148.9850,165.7000,147.4800,165.3000,163.6474,1688864233,0.2200,AAPL,4
2021-10-29,141.9000,153.1650,138.2700,149.8000,148.0870,1565079040,0.0000,AAPL,4
2021-09-30,152.8300,157.2600,141.2700,141.5000,139.8819,1797948421,0.0000,AAPL,4
2021-08-31,146.3600,153.4900,144.5000,151.8300,150.0938,1462773381,0.2200,AAPL,4
2021-07-30,136.6000,150.0000,135.7600,145.8600,143.9753,1916751489,0.0000,AAPL,4
2021-06-30,125.0800,137.4100,123.1300,136.9600,135.1903,1606114354,0.0000,AAPL,4
2021-05-28,132.0400,134.0700,122.2500,124.6100,122.9999,1711935110,0.2200,AAPL,4
2021-04-30,123.6600,137.0700,122.4900,131.4600,129.5425,1889956694,0.0000,AAPL,4
2021-03-31,123.7500,128.7200,116.2100,122.1500,120.3683,2650845211,0.0000,AAPL,4
2021-02-26,133.7500,137.8770,118.3900,121.2600,119.4913,1825486961,0.2050,AAPL,4
2021-01-29,133.5200,145.0900,126.3820,131.9600,129.8406,2239366098,0.0000,AAPL,4
2020-12-31,121.0100,138.7890,120.0100,132.6900,130.5588,2319687808,0.0000,AAPL,4
2020-11-30,109.1100,121.9900,107.3200,119.0500,117.1379,2122724412,0.2050,AAPL,4
2020-10-30,117.6400,125.3900,107.7200,108.8600,106.9269,2895317580,0.0000,AAPL,4
2020-09-30,132.7600,137.9800,103.1000,115.8100,113.7535,3886793083,0.0000,AAPL,4
2020-08-31,432.8000,515.1400,126.0000,129.0400,126.7485,1184207050,0.8200,AAPL,4
2020-07-31,365.1200,425.6600,356.5800,425.0400,104.1809,755162226,0.0000,AAPL,4
2020-06-30,317.7500,372.3800,317.2100,364.8000,89.4155,810900890,0.0000,AAPL,4
2020-05-29,286.2500,324.2400,285.8500,317.9400,77.9298,701660022,0.8200,AAPL,4
2020-04-30,246.5000,294.5300,236.9000,293.8000,71.8229,816530808,0.0000,AAPL,4
2020-03-31,282.2800,304.0000,212.6100,254.2900,62.1642,1570331732,0.0000,AAPL,4
2020-02-28,304.3000,327.2200,256.3700,273.3600,66.8261,755223231,0.7700,AAPL,4
2020-01-31,296.2400,327.8500,292.7500,309.5100,75.4818,734044103,0.0000,AAPL,4
