index,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,Symbol,Quantity
2022-12-30,157.7200,161.5500,142.7200,147.7500,145.5739,53953591,0.0000,AXP,4
2022-11-30,149.9600,158.8800,138.7700,157.5900,155.2690,59588876,0.0000,AXP,4
2022-10-31,137.9500,150.9100,130.6500,148.4500,146.2636,75510462,0.5200,AXP,4
2022-09-30,150.8200,163.4500,134.6150,134.9100,132.4365,66252580,0.0000,AXP,4
2022-08-31,152.8400,166.0600,150.8400,152.0000,149.2132,54976973,0.0000,AXP,4
2022-07-29,138.0700,160.8800,134.1200,154.0200,151.1962,78378421,0.0000,AXP,4
2022-06-30,168.7000,170.2590,134.3000,138.6200,136.0785,76144920,0.5200,AXP,4
2022-05-31,174.6520,178.1700,149.7100,168.8200,165.1055,68020551,0.0000,AXP,4
2022-04-29,188.2000,192.4200,174.0000,174.7100,170.8659,67036471,0.5200,AXP,4
2022-03-31,194.6700,194.7700,155.7200,187.0000,182.3655,102429917,0.0000,AXP,4
2022-02-28,179.9200,199.5500,179.0000,194.5400,189.7186,78105887,0.0000,AXP,4
2022-01-31,164.5100,180.1300,152.8500,179.8200,175.3635,94753520,0.4300,AXP,4
2021-12-31,156.1000,170.5800,149.8900,163.6000,159.1496,83511760,0.0000,AXP,4
2021-11-30,174.5800,183.9300,151.7000,152.3000,148.1570,82442869,0.0000,AXP,4
2021-10-29,168.5000,189.0300,167.0800,173.7800,169.0527,71474294,0.4300,AXP,4
2021-09-30,166.3400,178.8000,156.8000,167.5300,162.5716,77254973,0.0000,AXP,4
2021-08-31,171.1400,173.3600,157.3300,165.9600,161.0481,75374346,0.0000,AXP,4
2021-07-30,165.6500,179.6700,161.4800,170.5300,165.4829,87620609,0.4300,AXP,4
2021-06-30,162.5100,170.4100,157.2500,165.2300,159.9278,74213746,0.0000,AXP,4
2021-05-28,154.5900,160.6900,151.7200,160.1300,154.9914,55280855,0.0000,AXP,4
2021-04-30,142.3400,155.0800,140.6800,153.3500,148.4290,59485933,0.0000,AXP,4
2021-03-31,138.1800,151.4600,135.1250,141.4400,136.9012,79166237,0.4300,AXP,4
2021-02-26,117.7000,140.9500,117.0000,135.2600,130.5227,63198020,0.0000,AXP,4
2021-01-29,121.3000,129.5400,112.0985,116.2600,112.1882,88363398,0.4300,AXP,4
2020-12-31,120.3200,125.3200,113.7200,120.9100,116.2644,77371622,0.0000,AXP,4
2020-11-30,92.9600,121.6900,92.2700,118.5900,114.0335,98223918,0.0000,AXP,4
2020-10-30,100.3300,107.2100,89.1100,91.2400,87.7344,84883392,0.4300,AXP,4
2020-09-30,100.5400,109.0300,93.7100,100.2500,96.0089,96055597,0.0000,AXP,4
2020-08-31,93.3100,105.7000,92.4400,101.5900,97.2922,74061461,0.0000,AXP,4
2020-07-31,95.2500,97.9000,89.5800,93.3200,89.3721,91186082,0.4300,AXP,4
2020-06-30,95.5600,115.9300,92.4500,95.2000,90.7576,135740698,0.0000,AXP,4
2020-05-29,88.1000,102.4600,76.0000,95.0700,90.6337,129044977,0.0000,AXP,4
2020-04-30,80.6500,97.8500,72.6100,91.2500,86.9919,163943621,0.4300,AXP,4
2020-03-31,111.1100,116.4000,67.0000,85.6100,81.1599,227335554,0.0000,AXP,4
2020-02-28,130.5500,138.0400,107.0000,109.9300,104.2157,73472197,0.0000,AXP,4
2020-01-31,124.6600,138.1300,123.1200,129.8700,123.1192,71772405,0.4300,AXP,4
