index,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,Symbol,Quantity
2022-12-30,178.8800,196.4000,172.8500,190.4900,190.4900,141672627,0.0000,BA,3
2022-11-30,143.9900,179.9800,141.5400,178.8800,178.8800,162175392,0.0000,BA,3
2022-10-31,122.0000,150.1400,121.0200,142.5100,142.5100,167075874,0.0000,BA,3
2022-09-30,158.0000,160.9700,120.9900,121.0800,121.0800,151412882,0.0000,BA,3
2022-08-31,165.9500,173.8500,157.9100,160.2500,160.2500,144164383,0.0000,BA,3
2022-07-29,135.8800,163.3399,131.2900,159.3100,159.3100,183908992,0.0000,BA,3
2022-06-30,133.0000,147.1800,113.0200,136.7200,136.7200,239347869,0.0000,BA,3
2022-05-31,148.0200,157.9900,117.0800,131.4000,131.4000,229167552,0.0000,BA,3
2022-04-29,192.5800,192.6160,146.0000,148.8400,148.8400,182224994,0.0000,BA,3
2022-03-31,203.1100,203.5000,167.5800,191.5000,191.5000,243121678,0.0000,BA,3
2022-02-28,202.4800,223.2300,186.8800,205.3400,205.3400,167196677,0.0000,BA,3
2022-01-31,204.0000,229.6700,183.7700,200.2400,200.2400,218960776,0.0000,BA,3
2021-12-31,200.8100,212.6799,185.2600,201.3200,201.3200,212733198,0.0000,BA,3
2021-11-30,207.0000,233.9400,193.8500,197.8500,197.8500,222341554,0.0000,BA,3
2021-10-29,222.8500,232.1000,204.6000,207.0300,207.0300,171554370,0.0000,BA,3
2021-09-30,220.0000,229.9399,206.5300,219.9400,219.9400,194159576,0.0000,BA,3
2021-08-31,227.1900,241.1500,210.9400,219.5000,219.5000,187930311,0.0000,BA,3
2021-07-30,240.3600,241.8000,204.8000,226.4800,226.4800,272248655,0.0000,BA,3
2021-06-30,253.0000,258.3957,235.6600,239.5600,239.5600,263186777,0.0000,BA,3
2021-05-28,234.1100,252.6000,219.0700,247.0200,247.0200,258429728,0.0000,BA,3
2021-04-30,256.6700,260.4800,230.2200,234.3100,234.3100,260879581,0.0000,BA,3
2021-03-31,219.6000,278.5671,213.8000,254.7200,254.7200,518597694,0.0000,BA,3
2021-02-26,196.0000,229.6100,192.8600,212.0100,212.0100,242912360,0.0000,BA,3
2021-01-29,210.0000,216.6000,191.8504,194.1900,194.1900,257525720,0.0000,BA,3
2020-12-31,214.3100,244.0800,210.3000,214.0600,214.0600,408941336,0.0000,BA,3
2020-11-30,145.7500,223.0200,143.3800,210.7100,210.7100,526454982,0.0000,BA,3
2020-10-30,170.1500,175.5600,141.5800,144.3900,144.3900,422020034,0.0000,BA,3
2020-09-30,170.7100,180.8500,145.0200,165.2600,165.2600,464405312,0.0000,BA,3
2020-08-31,156.5100,189.9700,153.4100,171.8200,171.8200,624645067,0.0000,BA,3
2020-07-31,185.8800,190.6100,156.2600,158.0000,158.0000,800689941,0.0000,BA,3
2020-06-30,145.4500,234.2000,144.5500,183.3000,183.3000,1458787731,0.0000,BA,3
2020-05-29,143.2300,156.7000,113.8900,145.8500,145.8500,610500095,0.0000,BA,3
2020-04-30,138.9100,164.8000,120.0204,141.0200,141.0200,815292850,0.0000,BA,3
2020-03-31,279.5400,297.4400,89.0000,149.1400,149.1400,740420836,0.0000,BA,3
2020-02-28,318.7500,349.9500,269.6000,275.1100,275.1100,118160866,2.0550,BA,3
2020-01-31,328.5500,344.1900,302.7200,318.2700,316.3735,181420957,0.0000,BA,3
