index,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,Symbol,Quantity
2022-12-30,127.3000,130.0200,117.8000,119.9200,114.8574,59161756,0.0000,MMM,4
2022-11-30,126.7700,133.9100,121.1200,125.9700,120.6520,52507707,1.4900,MMM,4
2022-10-31,111.6900,126.6700,107.0700,125.7900,119.0842,72890378,0.0000,MMM,4
2022-09-30,124.3000,126.5200,110.3900,110.5000,104.6093,239748874,0.0000,MMM,4
2022-08-31,142.1500,152.3000,123.0301,124.3500,117.7209,304628359,1.4900,MMM,4
2022-07-29,129.4100,145.7000,125.6000,143.2400,134.2265,67100466,0.0000,MMM,4
2022-06-30,149.3300,149.4900,127.2990,129.4100,121.2668,63798266,0.0000,MMM,4
2022-05-31,144.5100,154.6600,141.0000,149.2900,139.8958,61787866,1.4900,MMM,4
2022-04-29,149.6300,153.1000,142.8700,144.2200,133.7884,53629997,0.0000,MMM,4
2022-03-31,148.5800,153.2600,140.8300,148.8800,138.1113,82702137,0.0000,MMM,4
2022-02-28,165.5900,169.2500,139.7400,148.6500,137.8980,76132679,1.4900,MMM,4
2022-01-31,178.3200,181.7800,160.5371,166.0200,152.4830,62309642,0.0000,MMM,4
2021-12-31,172.5500,179.1800,169.1801,177.6300,163.1464,48251474,0.0000,MMM,4
2021-11-30,178.5300,186.3000,169.9400,170.0400,156.1753,47872133,1.4800,MMM,4
2021-10-29,176.2500,183.8200,173.7800,178.6800,162.7633,48241875,0.0000,MMM,4
2021-09-30,194.5500,195.6060,175.3700,175.4200,159.7937,67366254,0.0000,MMM,4
2021-08-31,199.0700,202.7700,192.7200,194.7400,177.3927,39822553,1.4800,MMM,4
2021-07-30,199.4500,203.2100,194.7600,197.9400,178.9436,46011957,0.0000,MMM,4
2021-06-30,204.9800,206.8063,191.5300,198.6300,179.5674,51268693,0.0000,MMM,4
2021-05-28,197.9900,208.9500,196.6600,203.0400,183.5541,37466515,1.4800,MMM,4
2021-04-30,193.2500,203.1550,188.6300,197.1400,176.9219,46438173,0.0000,MMM,4
2021-03-31,175.7000,196.7200,174.0700,192.6800,172.9193,62922350,0.0000,MMM,4
2021-02-26,175.9700,182.3800,173.5500,175.0600,157.1063,43154764,1.4800,MMM,4
2021-01-29,175.0000,187.2700,163.3800,175.6600,156.3391,70120337,0.0000,MMM,4
2020-12-31,174.2200,177.4600,169.1800,174.7900,155.5648,48751666,0.0000,MMM,4
2020-11-30,162.1900,179.6250,159.9000,172.7300,153.7314,53598220,1.4700,MMM,4
2020-10-30,160.6700,173.1900,156.1300,159.9600,141.1568,46222327,0.0000,MMM,4
2020-09-30,162.1700,173.2000,158.0700,160.1800,141.3509,55990350,0.0000,MMM,4
2020-08-31,151.0900,167.4900,149.3100,163.0200,143.8571,49410753,1.4700,MMM,4
2020-07-31,156.3400,163.3800,148.8000,150.4700,131.5862,58624658,0.0000,MMM,4
2020-06-30,155.9500,169.5400,150.1000,155.9900,136.4134,66941566,0.0000,MMM,4
2020-05-29,149.3000,159.8700,131.1200,156.4400,136.8070,86444186,1.4700,MMM,4
2020-04-30,132.0000,163.0800,131.0100,151.9200,131.5282,82041375,0.0000,MMM,4
2020-03-31,151.3400,154.7400,114.0400,136.5100,118.1866,148694286,0.0000,MMM,4
2020-02-28,160.0300,165.0400,145.9700,149.2400,129.2079,76313199,1.4700,MMM,4
2020-01-31,177.6800,182.5500,158.2300,158.6600,136.1111,70669691,0.0000,MMM,4
